ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,SalesOrderNumber,SalesAmount
381,20120101,20120113,20120108,16942,1,SO46700,1000.4375
375,20120101,20120113,20120108,15114,1,SO46701,2181.5625
369,20120101,20120113,20120108,15116,2,SO46702,2443.35
337,20120101,20120113,20120108,20576,1,SO46703,782.99
370,20120101,20120113,20120108,13059,1,SO46704,2443.35
370,20120101,20120113,20120108,13085,1,SO46705,2443.35
352,20120101,20120113,20120108,20186,1,SO46706,2071.4196
337,20120101,20120113,20120108,15199,1,SO46707,782.99
377,20120101,20120113,20120108,21200,1,SO46708,2181.5625
387,20120102,20120114,20120109,19172,1,SO46709,1000.4375
356,20120102,20120114,20120109,11484,1,SO46710,2071.4196
369,20120102,20120114,20120109,13592,2,SO46711,2443.35
373,20120102,20120114,20120109,13779,1,SO46712,2181.5625
371,20120102,20120114,20120109,24778,1,SO46713,2181.5625
368,20120102,20120114,20120109,13093,1,SO46714,2443.35
375,20120102,20120114,20120109,24976,1,SO46715,2181.5625
375,20120102,20120114,20120109,25046,1,SO46716,2181.5625
368,20120102,20120114,20120109,25048,1,SO46717,2443.35
360,20120102,20120114,20120109,12570,1,SO46718,2049.0982
362,20120103,20120115,20120110,11604,2,SO46719,2049.0982
371,20120103,20120115,20120110,13667,1,SO46720,2181.5625
370,20120103,20120115,20120110,16046,1,SO46721,2443.35
385,20120103,20120115,20120110,17095,1,SO46722,1000.4375
368,20120103,20120115,20120110,12918,1,SO46723,2443.35
368,20120103,20120115,20120110,28663,1,SO46724,2443.35
369,20120103,20120115,20120110,21191,2,SO46725,2443.35
373,20120103,20120115,20120110,20999,1,SO46726,2181.5625
370,20120103,20120115,20120110,21002,1,SO46727,2443.35
358,20120103,20120115,20120110,12354,1,SO46728,2049.0982
321,20120103,20120115,20120110,26019,1,SO46729,782.99
379,20120104,20120116,20120111,15100,1,SO46730,2181.5625
371,20120104,20120116,20120111,15101,1,SO46731,2181.5625
385,20120104,20120116,20120111,13992,1,SO46732,1000.4375
375,20120104,20120116,20120111,24781,1,SO46733,2181.5625
375,20120104,20120116,20120111,13060,1,SO46734,2181.5625
371,20120104,20120116,20120111,13226,1,SO46735,2181.5625
360,20120104,20120116,20120111,12341,1,SO46736,2049.0982
354,20120104,20120116,20120111,12346,1,SO46737,2071.4196
362,20120104,20120116,20120111,12576,2,SO46738,2049.0982
373,20120105,20120117,20120112,15699,1,SO46739,2181.5625
379,20120105,20120117,20120112,12980,1,SO46740,2181.5625
370,20120105,20120117,20120112,28766,1,SO46741,2443.35
358,20120105,20120117,20120112,20206,1,SO46742,2049.0982
373,20120105,20120117,20120112,21183,1,SO46743,2181.5625
370,20120105,20120117,20120112,21199,1,SO46744,2443.35
369,20120106,20120118,20120113,13056,2,SO46745,2443.35
368,20120106,20120118,20120113,13057,1,SO46746,2443.35
360,20120106,20120118,20120113,26127,1,SO46747,2049.0982
360,20120106,20120118,20120113,26252,1,SO46748,2049.0982
354,20120106,20120118,20120113,12350,1,SO46749,2071.4196
377,20120107,20120119,20120114,16054,1,SO46750,2181.5625
377,20120107,20120119,20120114,12934,1,SO46751,2181.5625
343,20120107,20120119,20120114,19931,1,SO46752,782.99
379,20120107,20120119,20120114,21215,1,SO46753,2181.5625
321,20120107,20120119,20120114,25958,1,SO46754,782.99
343,20120107,20120119,20120114,26023,1,SO46755,782.99
383,20120107,20120119,20120114,13993,1,SO46756,1000.4375
354,20120108,20120120,20120115,26174,1,SO46757,2071.4196
387,20120108,20120120,20120115,18130,1,SO46758,1000.4375
373,20120108,20120120,20120115,16033,1,SO46759,2181.5625
387,20120108,20120120,20120115,13986,1,SO46760,1000.4375
325,20120108,20120120,20120115,19924,1,SO46761,782.99
368,20120108,20120120,20120115,13063,1,SO46762,2443.35
375,20120108,20120120,20120115,13202,1,SO46763,2181.5625
360,20120108,20120120,20120115,26238,1,SO46764,2049.0982
333,20120108,20120120,20120115,15191,1,SO46765,782.99
369,20120108,20120120,20120115,21216,2,SO46766,2443.35
362,20120108,20120120,20120115,12573,2,SO46767,2049.0982
339,20120108,20120120,20120115,26020,1,SO46768,782.99
377,20120109,20120121,20120116,15702,1,SO46769,2181.5625
370,20120109,20120121,20120116,15357,1,SO46770,2443.35
377,20120109,20120121,20120116,13068,1,SO46771,2181.5625
375,20120109,20120121,20120116,13161,1,SO46772,2181.5625
371,20120109,20120121,20120116,13173,1,SO46773,2181.5625
375,20120109,20120121,20120116,13225,1,SO46774,2181.5625
352,20120109,20120121,20120116,26249,1,SO46775,2071.4196
360,20120109,20120121,20120116,12356,1,SO46776,2049.0982
356,20120110,20120122,20120117,11568,1,SO46777,2071.4196
352,20120110,20120122,20120117,11610,1,SO46778,2071.4196
377,20120110,20120122,20120117,15929,1,SO46779,2181.5625
379,20120110,20120122,20120117,12942,1,SO46780,2181.5625
379,20120110,20120122,20120117,12949,1,SO46781,2181.5625
371,20120110,20120122,20120117,12975,1,SO46782,2181.5625
337,20120110,20120122,20120117,19069,1,SO46783,782.99
375,20120110,20120122,20120117,13178,1,SO46784,2181.5625
373,20120110,20120122,20120117,13190,1,SO46785,2181.5625
354,20120110,20120122,20120117,26201,1,SO46786,2071.4196
333,20120110,20120122,20120117,15195,1,SO46787,782.99
358,20120110,20120122,20120117,12342,1,SO46788,2049.0982
358,20120111,20120123,20120118,28506,1,SO46789,2049.0982
379,20120111,20120123,20120118,12930,1,SO46790,2181.5625
369,20120111,20120123,20120118,13016,2,SO46791,2443.35
373,20120111,20120123,20120118,13083,1,SO46792,2181.5625
375,20120111,20120123,20120118,13214,1,SO46793,2181.5625
373,20120111,20120123,20120118,24977,1,SO46794,2181.5625
362,20120111,20120123,20120118,26234,2,SO46795,2049.0982
360,20120111,20120123,20120118,26247,1,SO46796,2049.0982
371,20120111,20120123,20120118,21197,1,SO46797,2181.5625
368,20120111,20120123,20120118,21201,1,SO46798,2443.35
371,20120112,20120124,20120119,13662,1,SO46799,2181.5625
370,20120112,20120124,20120119,13019,1,SO46800,2443.35
368,20120112,20120124,20120119,25094,1,SO46801,2443.35
337,20120112,20120124,20120119,15188,1,SO46802,782.99
379,20120113,20120125,20120120,13595,1,SO46803,2181.5625
323,20120113,20120125,20120120,19052,1,SO46804,782.99
373,20120113,20120125,20120120,13055,1,SO46805,2181.5625
370,20120113,20120125,20120120,21195,1,SO46806,2443.35
354,20120113,20120125,20120120,12339,1,SO46807,2071.4196
360,20120113,20120125,20120120,12347,1,SO46808,2049.0982
371,20120114,20120126,20120121,13766,1,SO46809,2181.5625
370,20120114,20120126,20120121,15622,1,SO46810,2443.35
369,20120114,20120126,20120121,12941,2,SO46811,2443.35
371,20120114,20120126,20120121,13069,1,SO46812,2181.5625
379,20120114,20120126,20120121,13152,1,SO46813,2181.5625
371,20120114,20120126,20120121,13165,1,SO46814,2181.5625
375,20120114,20120126,20120121,25093,1,SO46815,2181.5625
370,20120114,20120126,20120121,13230,1,SO46816,2443.35
356,20120114,20120126,20120121,26121,1,SO46817,2071.4196
369,20120114,20120126,20120121,21211,2,SO46818,2443.35
368,20120114,20120126,20120121,21001,1,SO46819,2443.35
352,20120115,20120127,20120122,28510,1,SO46820,2071.4196
377,20120115,20120127,20120122,24824,1,SO46821,2181.5625
325,20120115,20120127,20120122,15155,1,SO46822,782.99
323,20120115,20120127,20120122,15193,1,SO46823,782.99
385,20120115,20120127,20120122,24608,1,SO46824,1000.4375
354,20120115,20120127,20120122,12574,1,SO46825,2071.4196
360,20120115,20120127,20120122,12575,1,SO46826,2049.0982
373,20120116,20120128,20120123,13799,1,SO46827,2181.5625
385,20120116,20120128,20120123,13990,1,SO46828,1000.4375
369,20120116,20120128,20120123,24786,2,SO46829,2443.35
337,20120116,20120128,20120123,19910,1,SO46830,782.99
369,20120116,20120128,20120123,13066,2,SO46831,2443.35
352,20120116,20120128,20120123,20188,1,SO46832,2071.4196
354,20120116,20120128,20120123,12360,1,SO46833,2071.4196
379,20120116,20120128,20120123,12923,1,SO46834,2181.5625
371,20120117,20120129,20120124,13768,1,SO46835,2181.5625
377,20120117,20120129,20120124,13769,1,SO46836,2181.5625
381,20120117,20120129,20120124,14003,1,SO46837,1000.4375
375,20120117,20120129,20120124,12922,1,SO46838,2181.5625
375,20120117,20120129,20120124,24817,1,SO46839,2181.5625
369,20120117,20120129,20120124,13058,2,SO46840,2443.35
371,20120117,20120129,20120124,13174,1,SO46841,2181.5625
321,20120117,20120129,20120124,15166,1,SO46842,782.99
375,20120117,20120129,20120124,21168,1,SO46843,2181.5625
358,20120117,20120129,20120124,12343,1,SO46844,2049.0982
358,20120118,20120130,20120125,11603,1,SO46845,2049.0982
373,20120118,20120130,20120125,13575,1,SO46846,2181.5625
371,20120118,20120130,20120125,13793,1,SO46847,2181.5625
371,20120118,20120130,20120125,16201,1,SO46848,2181.5625
370,20120118,20120130,20120125,24960,1,SO46849,2443.35
370,20120118,20120130,20120125,13221,1,SO46850,2443.35
360,20120118,20120130,20120125,20209,1,SO46851,2049.0982
333,20120118,20120130,20120125,15194,1,SO46852,782.99
368,20120118,20120130,20120125,21192,1,SO46853,2443.35
375,20120118,20120130,20120125,20997,1,SO46854,2181.5625
379,20120119,20120131,20120126,15117,1,SO46855,2181.5625
